date,time,network,format,ready,asset_status,caption
2026-08-18,08:00,Instagram,Reel,YES,"FINISHED - Olly approved Version 2 on 11 Aug 13:10; Dhika offered two captions 13:41","Six days late and still good. [Use Dhika's caption option 1 - it was written for this cut and is already approved in the thread.]"
2026-08-19,08:00,Instagram,Reel,YES,"FINISHED - Tim Gray Health Optimisation Podcast clip, cut 13 Aug, credited as instructed","Bear on the Health Optimisation Podcast with Tim Gray. The full conversation is worth your time. #modernsavage #healthoptimisation"
2026-08-20,08:00,Instagram,Carousel,YES,"FINISHED - 'Great-Grandparents Would Be Shocked', revised CTA approved by Jesse 13 Aug 11:52","One question answers most of nutrition. Does this food exist in nature? Organs have been on the human menu for two million years. Capsules have been around for about a hundred. #ancestralnutrition #modernsavage"
2026-08-22,08:00,Instagram,Story,YES,"NEEDS DESIGN - four pillar cards, copy is final and taken from the live handbook","Bear's handbook is free. Ninety days, four pillars, no nonsense. Start Strong. Train. Nutrition & Lifestyle. Attitude. Link in bio."
2026-08-25,08:00,Instagram,Reel,NO,"NEEDS SHOOT - slow pour, water hitting powder, the swirl, daylight, no voiceover","Every organ supplement on the market has the same pitch. You won't taste a thing. Think about that. An entire industry whose best promise is that you won't notice it. We went the other way. Ours is a drink you'll actually look forward to. Berries, not capsules. One scoop, not six pills. Pre-orders are open. Link in bio. #modernsavage #ancestralnutrition #organsupplements"
2026-08-27,08:00,Instagram,Carousel,NO,"NEEDS DESIGN - flat-lay, six capsules beside one scoop","We didn't set out to make a supplement. We set out to make something the family would actually drink. Turns out that was the hard part, and it's the part everyone else skipped. #modernsavage"
2026-08-28,08:00,Instagram,Reel,NO,"NEEDS JESSE - to camera, 30 seconds, natural light, no set","I was not doing well. That is the honest version. Dad had us all vegan for years and it was not working for me. Changing what I ate changed everything, and the thing that moved the needle most was the stuff people find hardest to eat. So we made it taste good. That is the whole idea."
2026-08-29,08:00,Instagram,Feed,HOLD,"BLOCKED - do not post until the British farmers sourcing question is answered. See 03-commercial-findings.md","Sourcing isn't a line on a label. It's a decision you make every time it would be cheaper not to. Grass-fed. Traceable. Named farms. #grassfed #britishfarming"
2026-09-01,08:00,Instagram,Reel,NO,"NEEDS SHOOT - single unbroken shot, morning light, real kitchen","Kettle. Scoop. Water. Stir. Out the door. Thirty seconds, once a day. #modernsavage #morningritual"
2026-09-03,08:00,Instagram,Feed,NO,"NEEDS SHOOT - Mini Savage pouch, family setting","The hardest customer we've ever had is nine years old and will not be reasoned with. Mini Savage is the same standard as the adult blend, dosed for smaller bodies, with bovine colostrum for the immune system. If it doesn't taste good, it doesn't get drunk. That was the entire brief."
2026-09-05,08:00,Instagram,Feed,NO,"NEEDS DESIGN - ingredient flat-lay","Grass-fed bovine liver, kidney, heart and spleen. Bovine testes and lung from New Zealand. Freeze-dried bison liver. Whole-food vitamins. Gut-friendly protein. Eight freeze-dried berries. No synthetic filler. No proprietary blend hiding the doses. Full breakdown at modernsavage.co/ingredients"
2026-09-08,08:00,Instagram,Reel,NO,"NEEDS BEAR - the why I made this hero piece. Highest value asset on the list. Cross-post to his 9M.","[Bear to camera. Script to be written with him, not for him.]"
2026-09-09,08:00,Instagram,Carousel,NO,"NEEDS DESIGN - punch up at the category, never at a named competitor","Forty different single-organ SKUs. A wall of pills and a chemistry lesson. Marketed by men shouting in gyms. We made one drink for the whole family. Modern by design. Savage by nature."
2026-09-10,08:00,Instagram,Feed,NO,"NEEDS SHOOT - Summit Stack pouch, training context. Keep out of any Australia-facing content, NMN is therapeutic-only there.","For the days that ask more of you. Creatine, electrolytes, NMN, PQQ, trans-resveratrol, plus D3 and K2 fermented from natto. BG Summit Stack. Pre-orders open."
2026-09-11,08:00,Instagram,Reel,NO,"NEEDS SHOOT - drives to /recipes, an existing page getting no traffic","Three ways we actually drink it. Water. Smoothie. The one the kids ask for. Recipes at modernsavage.co"
2026-09-12,08:00,Instagram,Feed,NO,"NEEDS PHOTO - family photograph","No investors. No licensing deal. No celebrity lending a name to someone else's factory. Bear, Shara and the boys own this outright. That's why the standard is what it is. 100% family owned."
2026-09-15,08:00,Instagram,Carousel,NO,"NEEDS DESIGN - clean typography","Straight answers. What you get, what it costs, when it lands. Delivery aimed at October 2026. Subscribe and save £10 a month. Questions? Just ask. We answer everything."
2026-09-16,08:00,Instagram,Reel,NO,"BLOCKED - needs final packaging, which is blocked on pouch artwork, which is blocked on GS1 barcodes. Swap for a mockup or drop if artwork is not ready.","It's here."
2026-09-17,08:00,Instagram,Feed,NO,"NEEDS DESIGN - four pillars as cards","Four pillars. Ninety days. Free. Start Strong: get the first hour right and the day mostly looks after itself. Train: compound movements, forty minutes, both ends of the thermometer. Then rest. Nutrition & Lifestyle: does this food exist in nature? One question answers all of it. Attitude: a charging rhino. Calm, kind, positive. Family first. Have faith. modernsavage.co/handbook"
2026-09-18,08:00,Instagram,Reel,NO,"NEEDS EDIT - cut from the Hello / AOL / Plant Based News / Spectrum coverage","People are talking. Here's why."
2026-09-19,08:00,Instagram,Feed,NO,"NEEDS SHOOT - hero product shot. Only claim the run will sell out if it is finite and we intend to honour it. Otherwise cut that line.","Pre-orders close when the first run sells out. Grass-fed organs. Whole-food vitamins. Eight real berries. One scoop. Modern by design. Savage by nature. modernsavage.co"
